"Date","All items","Food","Food at home","Food away from home","Energy","Gasoline (all types)","Electricity","Natural gas (piped)","All items less food and energy","Commodities less food and energy commodities","Apparel","New vehicles","Medical care commodities","Services less energy services","Shelter","Medical care services","Education and communication",
"Jan 2016","1.4","0.8","-0.5","2.7","-6.5","-7.3","-2.4","-12.7","2.2","-0.1","-0.5","0.6","2.1","3.0","3.2","3.3","1.4",
"Feb 2016","1.0","0.9","-0.3","2.6","-12.5","-20.7","-3.0","-10.3","2.3","0.1","0.9","0.6","2.2","3.1","3.3","3.9","1.2",
"Mar 2016","0.9","0.8","-0.5","2.7","-12.6","-20.9","-1.7","-9.2","2.2","-0.4","-0.6","0.4","2.4","3.0","3.2","3.6","1.2",
"Apr 2016","1.1","0.9","-0.3","2.7","-8.9","-13.8","-2.1","-6.5","2.1","-0.5","-0.6","0.0","2.7","3.0","3.2","3.1","1.2",
"May 2016","1.0","0.7","-0.7","2.6","-10.1","-16.9","-1.3","-4.7","2.2","-0.5","0.5","-0.2","2.0","3.2","3.4","3.5","1.1",
"Jun 2016","1.0","0.3","-1.3","2.6","-9.4","-15.4","-1.8","-5.0","2.2","-0.6","0.4","-0.4","2.8","3.2","3.5","3.8","1.1",
"Jul 2016","0.8","0.2","-1.6","2.8","-10.9","-19.9","-1.0","-0.4","2.2","-0.6","0.3","0.0","3.3","3.1","3.3","4.1","0.9",
"Aug 2016","1.1","0.0","-1.9","2.8","-9.2","-17.8","-0.7","1.1","2.3","-0.5","0.3","0.0","4.4","3.2","3.4","5.1","0.7",
"Sep 2016","1.5","-0.3","-2.2","2.4","-2.9","-6.5","0.1","2.9","2.2","-0.6","-0.1","0.0","5.2","3.2","3.4","4.8","0.1",
"Oct 2016","1.6","-0.4","-2.3","2.4","0.1","-0.9","0.4","4.8","2.1","-0.5","0.7","0.3","5.0","3.0","3.5","4.1","-0.3",
"Nov 2016","1.7","-0.4","-2.2","2.3","1.1","1.0","0.2","6.2","2.1","-0.7","0.3","0.2","4.3","3.0","3.6","3.9","-0.3",
"Dec 2016","2.1","-0.2","-2.0","2.3","5.4","9.1","0.7","7.8","2.2","-0.6","-0.1","0.3","4.7","3.1","3.6","3.9","-0.2",
"Jan 2017","2.5","-0.2","-1.9","2.4","10.8","20.3","1.0","10.1","2.3","-0.2","1.0","0.9","4.7","3.1","3.5","3.6","-0.3",
"Feb 2017","2.7","0.0","-1.7","2.4","15.2","30.7","1.9","10.9","2.2","-0.5","0.4","0.5","4.1","3.1","3.5","3.4","-0.3",
"Mar 2017","2.4","0.5","-0.9","2.4","10.9","19.9","1.6","10.3","2.0","-0.6","0.6","0.2","3.9","2.9","3.5","3.4","-2.2",
"Apr 2017","2.2","0.5","-0.8","2.3","9.3","14.3","2.4","12.0","1.9","-0.6","0.5","0.4","2.6","2.7","3.5","3.1","-2.5",
"May 2017","1.9","0.9","-0.2","2.3","5.4","5.8","2.7","12.8","1.7","-0.8","-0.9","0.3","3.3","2.6","3.3","2.5","-2.5",
"Jun 2017","1.6","0.9","-0.1","2.2","2.3","-0.4","2.5","12.8","1.7","-0.6","-0.7","0.0","3.2","2.5","3.3","2.5","-2.4",
"Jul 2017","1.7","1.1","0.3","2.1","3.4","3.0","2.6","7.5","1.7","-0.6","-0.4","-0.6","3.7","2.4","3.2","2.3","-2.5",
"Aug 2017","1.9","1.1","0.3","2.2","6.4","10.4","2.3","5.4","1.7","-0.9","-0.6","-0.7","2.4","2.5","3.3","1.6","-2.6",
"Sep 2017","2.2","1.2","0.4","2.4","10.1","19.3","1.7","3.8","1.7","-1.0","-0.2","-1.0","1.0","2.6","3.2","1.7","-2.1",
"Oct 2017","2.0","1.3","0.6","2.3","6.4","10.8","2.0","3.2","1.8","-1.0","-0.6","-1.4","0.9","2.7","3.2","1.9","-1.8",
"Nov 2017","2.2","1.4","0.6","2.4","9.4","16.5","2.5","3.6","1.7","-0.9","-1.6","-1.1","1.8","2.5","3.2","1.6","-1.7",
"Dec 2017","2.1","1.6","0.9","2.5","6.9","10.7","2.6","4.7","1.8","-0.7","-1.6","-0.5","2.3","2.6","3.2","1.6","-1.7",
"Jan 2018","2.1","1.7","1.0","2.5","5.5","8.5","2.4","0.2","1.8","-0.7","-0.7","-1.2","1.8","2.6","3.2","2.0","-1.7",
"Feb 2018","2.2","1.4","0.5","2.6","7.7","12.6","2.2","3.8","1.8","-0.5","0.4","-1.5","1.6","2.6","3.1","1.8","-1.8",
"Mar 2018","2.4","1.3","0.4","2.5","7.0","11.1","2.2","3.4","2.1","-0.3","0.3","-1.2","1.4","2.9","3.3","2.1","-0.2",
"Apr 2018","2.5","1.4","0.5","2.5","7.9","13.4","1.2","1.0","2.1","-0.4","0.8","-1.6","1.9","2.9","3.4","2.2","0.1",
"May 2018","2.8","1.2","0.1","2.7","11.7","21.8","1.0","-0.8","2.2","-0.3","1.4","-1.1","2.7","3.0","3.5","2.3","0.5",
"Jun 2018","2.9","1.4","0.4","2.8","12.0","24.3","-0.1","-2.1","2.3","-0.2","0.6","-0.5","2.4","3.1","3.4","2.5","0.8",
"Jul 2018","2.9","1.4","0.4","2.8","12.1","25.4","-0.8","-1.3","2.4","0.0","0.3","0.2","0.4","3.1","3.5","2.3","1.0",
"Aug 2018","2.7","1.4","0.5","2.6","10.2","20.3","-0.5","0.1","2.2","-0.2","-1.4","0.3","0.3","3.0","3.4","1.9","1.2",
"Sep 2018","2.3","1.4","0.4","2.6","4.8","9.1","-1.2","-1.2","2.2","-0.3","-0.6","0.5","0.7","3.0","3.3","2.0","1.2",
"Oct 2018","2.5","1.2","0.1","2.5","8.9","16.1","0.7","-2.1","2.1","-0.1","-0.4","0.5","0.7","2.9","3.2","1.9","0.9",
"Nov 2018","2.2","1.4","0.4","2.6","3.1","5.0","0.6","-2.1","2.2","0.2","-0.4","0.3","0.6","2.9","3.2","2.4","0.2",
"Dec 2018","1.9","1.6","0.6","2.8","-0.3","-2.1","1.1","2.3","2.2","0.1","-0.1","-0.3","-0.5","2.9","3.2","2.6","0.2",
"Jan 2019","1.6","1.6","0.6","2.8","-4.8","-10.1","0.4","4.3","2.2","0.3","0.1","0.0","-0.3","2.8","3.2","2.4","0.3",
"Feb 2019","1.5","2.0","1.2","2.9","-5.0","-9.1","0.0","-2.6","2.1","0.1","-0.8","0.3","-1.1","2.7","3.4","2.4","0.6",
"Mar 2019","1.9","2.1","1.4","3.0","-0.4","-0.7","0.3","-1.4","2.0","0.0","-2.2","0.7","-0.6","2.7","3.4","2.3","0.8",
"Apr 2019","2.0","1.8","0.7","3.1","1.7","3.1","0.6","-1.9","2.1","-0.2","-3.0","1.2","0.2","2.8","3.4","2.3","0.9",
"May 2019","1.8","2.0","1.2","2.9","-0.5","-0.2","-0.2","-2.6","2.0","-0.2","-3.1","0.9","-0.7","2.7","3.3","2.8","0.7",
"Jun 2019","1.6","1.9","0.9","3.1","-3.4","-5.4","-0.3","-2.1","2.1","0.2","-1.3","0.6","-1.5","2.8","3.5","2.8","0.6",
"Jul 2019","1.8","1.8","0.6","3.2","-2.0","-3.3","0.5","-2.9","2.2","0.4","-0.5","0.3","-0.4","2.8","3.5","3.3","0.6",
"Aug 2019","1.7","1.7","0.5","3.2","-4.4","-7.1","-0.1","-3.5","2.4","0.8","1.0","0.2","0.1","2.9","3.4","4.3","0.6",
"Sep 2019","1.7","1.8","0.6","3.2","-4.8","-8.2","0.7","-2.7","2.4","0.7","-0.3","0.1","-0.3","2.9","3.5","4.4","0.4",
"Oct 2019","1.8","2.1","1.0","3.3","-4.2","-7.3","0.4","0.2","2.3","0.3","-2.3","0.1","1.0","3.0","3.3","5.1","0.5",
"Nov 2019","2.1","2.0","1.0","3.2","-0.6","-1.2","0.5","1.1","2.3","0.1","-1.6","-0.1","0.6","3.0","3.3","5.1","1.4",
"Dec 2019","2.3","1.8","0.7","3.1","3.4","7.9","-0.4","-3.5","2.3","0.1","-1.2","0.1","2.5","3.0","3.2","5.1","1.4",
"Jan 2020","2.5","1.8","0.7","3.1","6.2","12.8","0.5","-3.2","2.3","-0.3","-1.3","0.1","1.7","3.1","3.3","5.1","1.5",
"Feb 2020","2.3","1.8","0.8","3.0","2.8","5.6","0.6","-2.0","2.4","0.0","-0.9","0.4","1.8","3.1","3.3","5.3","1.5",
"Mar 2020","1.5","1.9","1.1","3.0","-5.7","-10.2","0.2","-2.9","2.1","-0.2","-1.6","-0.4","1.3","2.8","3.0","5.5","1.5",
"Apr 2020","0.3","3.5","4.1","2.8","-17.7","-32.0","0.2","-1.9","1.4","-0.9","-5.7","-0.6","0.7","2.2","2.6","5.8","1.6",
"May 2020","0.1","4.0","4.8","2.9","-18.9","-33.8","-0.2","-0.3","1.2","-1.0","-7.9","-0.3","0.8","2.0","2.5","5.9","1.6",
"Jun 2020","0.6","4.5","5.6","3.1","-12.6","-23.4","0.1","-0.2","1.2","-1.1","-7.3","-0.2","1.3","1.9","2.4","6.0","1.4",
"Jul 2020","1.0","4.1","4.6","3.4","-11.2","-20.3","-0.1","-0.3","1.6","-0.5","-6.5","0.5","1.1","2.3","2.3","5.9","2.3",
"Aug 2020","1.3","4.1","4.6","3.5","-9.0","-16.8","-0.1","-0.5","1.7","0.4","-5.9","0.7","0.8","2.2","2.3","5.3","2.3",
"Sep 2020","1.4","3.9","4.1","3.8","-7.7","-15.4","0.7","3.8","1.7","1.0","-6.0","1.0","0.9","1.9","2.0","4.9","2.1",
"Oct 2020","1.2","3.9","4.0","3.9","-9.2","-18.0","1.3","1.8","1.6","1.2","-5.5","1.5","-0.8","1.7","2.0","3.7","2.1",
"Nov 2020","1.2","3.7","3.6","3.8","-9.4","-19.3","1.6","4.4","1.6","1.4","-5.2","1.6","-1.1","1.7","1.9","3.2","1.9",
"Dec 2020","1.4","3.9","3.9","3.9","-7.0","-15.2","2.2","4.1","1.6","1.7","-3.9","2.0","-2.5","1.6","1.8","2.8","2.0",
"Jan 2021","1.4","3.8","3.7","3.9","-3.6","-8.6","1.5","4.3","1.4","1.7","-2.5","1.4","-2.3","1.3","1.6","2.9","1.7",
"Feb 2021","1.7","3.6","3.5","3.7","2.4","1.5","2.3","6.7","1.3","1.3","-3.6","1.2","-2.5","1.3","1.5","3.0","1.7",
"Mar 2021","2.6","3.5","3.3","3.7","13.2","22.5","2.5","9.8","1.6","1.7","-2.5","1.5","-2.4","1.6","1.7","2.7","1.5",
"Apr 2021","4.2","2.4","1.2","3.8","25.1","49.6","3.6","12.1","3.0","4.4","1.9","2.0","-1.7","2.5","2.1","2.2","1.7",
"May 2021","5.0","2.2","0.7","4.0","28.5","56.2","4.2","13.5","3.8","6.5","5.6","3.3","-1.9","2.9","2.2","1.5","1.9",
"Jun 2021","5.4","2.4","0.9","4.2","24.5","45.1","3.8","15.6","4.5","8.7","4.9","5.3","-2.2","3.1","2.6","1.0","2.1",
"Jul 2021","5.4","3.4","2.6","4.6","23.8","41.8","4.0","19.0","4.3","8.5","4.2","6.4","-2.1","2.9","2.8","0.8","1.1",
"Aug 2021","5.3","3.7","3.0","4.7","25.0","42.7","5.2","21.1","4.0","7.7","4.2","7.6","-2.5","2.7","2.8","1.0","1.2",
"Sep 2021","5.4","4.6","4.5","4.7","24.8","42.1","5.2","20.6","4.0","7.3","3.4","8.7","-1.6","2.9","3.2","0.9","1.7",
"Oct 2021","6.2","5.3","5.4","5.3","30.0","49.6","6.5","28.1","4.6","8.4","4.3","9.8","-0.4","3.2","3.5","1.7","1.8",
